country_code,country_name,year,percentage
CZE,Czechia,2019,45.4
SVK,Slovak Republic,2019,52.9
HRV,Croatia,2019,59
LTU,Lithuania,2019,47.4
HUN,Hungary,2019,55.4
ISL,Iceland,2022,45.5
USA,United States,2018,54
AUS,Australia,2017,94.8
MEX,Mexico,2020,50.3
LUX,Luxembourg,2019,40.1
POL,Poland,2019,54.4
ESP,Spain,2020,67.7
COL,Colombia,2015,75.9
AUT,Austria,2019,49.9
EST,Estonia,2019,49.1
SVN,Slovenia,2019,54.8
NOR,Norway,2022,58
DNK,Denmark,2021,45.3
PRT,Portugal,2019,66.4
CHL,Chile,2016,39.8
ROU,Romania,2019,23.7
FRA,France,2019,58.9
CHE,Switzerland,2017,59.7
CAN,Canada,2021,62.1
NZL,New Zealand,2022,79.1
NLD,Netherlands,2021,38.6
FIN,Finland,2020,41
BEL,Belgium,2018,54.8
SWE,Sweden,2022,56.1
TUR,TÃ¼rkiye,2019,45.7
DEU,Germany,2019,55.8
GBR,United Kingdom,2014,62.8
GRC,Greece,2019,49.2
LVA,Latvia,2020,32
KOR,Korea,2021,59.8
IRL,Ireland,2021,65
ITA,Italy,2021,73.6
ISR,Israel,2019,71.6
